"","c.X5...0..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...1..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...2..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...3..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...4..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...5..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...6..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...7..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...8..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0..","c.X5...9..X0...0..X0.1...0..X0.2...0..X0.3...0..X0.4...0..X0.5...0.."
"X5",0,1,2,3,4,5,6,7,8,9
"X0",0,0,0,0,0,0,0,0,0,0
"X0.1",0,0,0,0,0,0,0,0,0,0
"X0.2",0,0,0,0,0,0,0,0,0,0
"X0.3",0,0,0,0,0,0,0,0,0,0
"X0.4",0,0,0,0,0,0,0,0,0,0
"X0.5",0,0,0,0,0,0,0,0,0,0
"X0.6",0,0,0,0,0,0,0,0,0,0
"X0.7",0,0,0,0,0,0,0,0,0,0
"X0.8",0,0,0,0,0,0,0,0,0,0
"X0.9",0,0,0,0,0,0,0,0,0,0
"X0.10",0,0,0,0,0,0,0,0,0,0
"X0.11",0,0,0,0,0,0,0,0,0,0
"X0.12",0,0,0,0,0,0,0,0,0,0
"X0.13",0,0,0.000167841557569654,0,0,0,0.000168976005407232,0,0,0
"X0.14",0,0,0.000167841557569654,0,0,0,0,0,0,0
"X0.15",0,0,0,0,0,0,0,0,0,0
"X0.16",0,0,0,0,0,0,0,0,0,0
"X0.17",0,0,0,0,0,0,0,0,0,0
"X0.18",0,0,0,0,0,0,0,0,0,0
"X0.19",0,0,0,0,0,0,0,0,0,0
"X0.20",0,0,0,0,0,0,0,0,0,0
"X0.21",0,0,0,0,0,0,0,0,0,0
"X0.22",0,0,0,0,0,0,0,0,0,0
"X0.23",0,0,0,0,0,0,0,0,0,0
"X0.24",0,0,0,0,0,0,0,0,0,0
"X0.25",0,0,0,0,0,0,0,0,0,0
"X0.26",0,0,0,0,0,0,0,0,0,0
"X0.27",0,0,0,0,0,0,0,0,0,0
"X0.28",0,0,0,0,0,0,0,0,0,0
"X0.29",0,0,0,0,0,0,0,0,0,0
"X0.30",0,0,0,0,0,0,0,0,0,0
"X0.31",0,0,0,0,0,0,0,0,0,0
"X0.32",0,0,0,0,0,0,0,0,0,0
"X0.33",0,0,0,0,0,0,0,0,0,0
"X0.34",0,0,0,0,0,0,0.000337952010814464,0,0,0
"X0.35",0,0,0,0,0,0,0.000844880027036161,0,0,0
"X0.36",0,0,0.000335683115139308,0,0,0,0.00135180804325786,0,0,0
"X0.37",0,0,0.000167841557569654,0,0,0,0.00236566407570125,0,0,0
"X0.38",0,0,0.000503524672708963,0,0,0,0.00439337614058804,0,0,0
"X0.39",0,0,0.000503524672708963,0,0,0,0.0052382561676242,0,0,0
"X0.40",0.000168833361472227,0,0.000167841557569654,0,0,0,0.00608313619466036,0,0,0
"X0.41",0,0,0.000167841557569654,0,0,0,0.00642108820547482,0,0,0
"X0.42",0,0.000148323939483833,0.000671366230278617,0,0.000171174255391989,0,0.00675904021628929,0,0,0
"X0.43",0,0.000296647878967665,0.000503524672708963,0,0,0,0.00557620817843866,0,0,0
"X0.44",0.000168833361472227,0,0.00167841557569654,0,0,0,0.00608313619466036,0,0,0
"X0.45",0,0,0.000335683115139308,0,0,0,0.00574518418384589,0,0,0
"X0.46",0,0,0,0,0,0,0.00405542412977357,0,0,0
"X0.47",0,0,0,0,0,0,0.00287259209192295,0,0,0
"X0.48",0,0,0,0,0,0,0.00219668807029402,0,0,0
"X0.49",0,0,0,0,0,0,0.000675904021628929,0,0,0
"X0.50",0,0,0,0,0,0,0.000506928016221697,0,0,0
"X0.51",0,0,0,0,0,0,0.000168976005407232,0,0,0
"X0.52",0,0,0,0,0,0,0,0,0,0
"X0.53",0,0,0,0,0,0,0,0,0,0
"X0.54",0,0,0,0,0,0,0,0,0,0
"X0.55",0,0,0,0,0,0,0,0,0,0
"X0.56",0,0,0,0,0,0,0,0,0,0
"X0.57",0,0,0,0,0,0,0,0,0,0
"X0.58",0,0,0,0,0,0,0,0,0,0
"X0.59",0,0,0,0,0,0,0,0,0,0
"X0.60",0,0,0,0,0,0,0.000168976005407232,0,0,0
"X0.61",0,0,0,0,0,0,0,0,0,0
"X0.62",0,0,0.000167841557569654,0,0,0,0.00135180804325786,0,0,0
"X0.63",0.000168833361472227,0,0.00100704934541793,0,0,0,0.00388644812436634,0,0,0
"X0.64",0,0,0.00251762336354481,0,0,0,0.00743494423791822,0,0,0
"X0.65",0,0,0.00469956361195032,0,0,0,0.0141939844542075,0,0,0
"X0.66",0,0,0.00654582074521652,0,0,0,0.0266982088543427,0,0,0
"X0.67",0,0.000148323939483833,0.00956696878147029,0.000163105529277443,0,0,0.0390334572490706,0,0,0
"X0.68",0.000168833361472227,0.000148323939483833,0.0127559583752937,0.000163105529277442,0.000171174255391989,0,0.0591416018925313,0,0,0
"X0.69",0.000337666722944454,0.000741619697419163,0.0146022155085599,0.000326211058554885,0.000342348510783978,0,0.080770530584657,0,0,0
"X0.70",0,0.00118659151587066,0.0172876804296744,0.000326211058554885,0.000513522766175967,0,0.112031091584995,0,0,0
"X0.71",0.000168833361472227,0.00163156333432216,0.0159449479691172,0.000163105529277443,0.000513522766175967,0.00018450184501845,0.124197363974316,0,0,0
